case_number,prompt,class,evaluation_seed
1302,an image of a French horn,French horn,5980
1303,an image of a French horn,French horn,7308
1304,an image of a French horn,French horn,2768
1305,an image of a French horn,French horn,9040
1306,an image of a French horn,French horn,2860
1307,an image of a French horn,French horn,7454
1308,an image of a French horn,French horn,8215
1309,an image of a French horn,French horn,7118
1310,an image of a French horn,French horn,7917
1311,an image of a French horn,French horn,6050
1312,an image of a French horn,French horn,9671
1313,an image of a French horn,French horn,2070
1314,an image of a French horn,French horn,3242
1315,an image of a French horn,French horn,4247
1316,an image of a French horn,French horn,3623
1317,an image of a French horn,French horn,1762
1318,an image of a French horn,French horn,4906
1319,an image of a French horn,French horn,4713
1320,an image of a French horn,French horn,7589
1321,an image of a French horn,French horn,4069
1322,an image of a French horn,French horn,8873
1323,an image of a French horn,French horn,9177
1324,an image of a French horn,French horn,5169
1325,an image of a French horn,French horn,7055
1326,an image of a French horn,French horn,3677
1327,an image of a French horn,French horn,3654
1328,an image of a French horn,French horn,2159
1329,an image of a French horn,French horn,1626
1330,an image of a French horn,French horn,885
1331,an image of a French horn,French horn,7625
1332,an image of a French horn,French horn,5411
1333,an image of a French horn,French horn,5674
1334,an image of a French horn,French horn,491
1335,an image of a French horn,French horn,2621
1336,an image of a French horn,French horn,2200
1337,an image of a French horn,French horn,3610
1338,an image of a French horn,French horn,3318
1339,an image of a French horn,French horn,5053
1340,an image of a French horn,French horn,8109
1341,an image of a French horn,French horn,6087
1342,an image of a French horn,French horn,6609
1343,an image of a French horn,French horn,1327
1344,an image of a French horn,French horn,5908
1345,an image of a French horn,French horn,5072
1346,an image of a French horn,French horn,8110
1347,an image of a French horn,French horn,6556
1348,an image of a French horn,French horn,3041
1349,an image of a French horn,French horn,5330
1350,an image of a French horn,French horn,5979
1351,an image of a French horn,French horn,996
1352,an image of a French horn,French horn,5439
1353,an image of a French horn,French horn,9983
1354,an image of a French horn,French horn,6270
1355,an image of a French horn,French horn,5212
1356,an image of a French horn,French horn,382
1357,an image of a French horn,French horn,7573
1358,an image of a French horn,French horn,6533
1359,an image of a French horn,French horn,3991
1360,an image of a French horn,French horn,8544
1361,an image of a French horn,French horn,3898
1362,an image of a French horn,French horn,5038
1363,an image of a French horn,French horn,4310
1364,an image of a French horn,French horn,3883
1365,an image of a French horn,French horn,8782
1366,an image of a French horn,French horn,8535
1367,an image of a French horn,French horn,2552
1368,an image of a French horn,French horn,5398
1369,an image of a French horn,French horn,415
1370,an image of a French horn,French horn,6969
1371,an image of a French horn,French horn,2132
1372,an image of a French horn,French horn,1696
1373,an image of a French horn,French horn,8412
1374,an image of a French horn,French horn,7841
1375,an image of a French horn,French horn,28
1376,an image of a French horn,French horn,1427
1377,an image of a French horn,French horn,9941
1378,an image of a French horn,French horn,1291
1379,an image of a French horn,French horn,3621
1380,an image of a French horn,French horn,7027
1381,an image of a French horn,French horn,2511
1382,an image of a French horn,French horn,9136
1383,an image of a French horn,French horn,2846
1384,an image of a French horn,French horn,1520
1385,an image of a French horn,French horn,9240
1386,an image of a French horn,French horn,8447
1387,an image of a French horn,French horn,9135
1388,an image of a French horn,French horn,8118
1389,an image of a French horn,French horn,7366
1390,an image of a French horn,French horn,7868
1391,an image of a French horn,French horn,4060
1392,an image of a French horn,French horn,7632
1393,an image of a French horn,French horn,4415
1394,an image of a French horn,French horn,7294
1395,an image of a French horn,French horn,9616
1396,an image of a French horn,French horn,6634
1397,an image of a French horn,French horn,5241
1398,an image of a French horn,French horn,7947
1399,an image of a French horn,French horn,9393
1400,an image of a French horn,French horn,8515
1401,an image of a French horn,French horn,7836
1402,an image of a French horn,French horn,9376
1403,an image of a French horn,French horn,5539
1404,an image of a French horn,French horn,529
1405,an image of a French horn,French horn,8087
1406,an image of a French horn,French horn,127
1407,an image of a French horn,French horn,6056
1408,an image of a French horn,French horn,9176
1409,an image of a French horn,French horn,9578
1410,an image of a French horn,French horn,705
1411,an image of a French horn,French horn,4909
1412,an image of a French horn,French horn,485
1413,an image of a French horn,French horn,2839
1414,an image of a French horn,French horn,9441
1415,an image of a French horn,French horn,2080
1416,an image of a French horn,French horn,473
1417,an image of a French horn,French horn,4626
1418,an image of a French horn,French horn,9327
1419,an image of a French horn,French horn,7973
1420,an image of a French horn,French horn,5797
1421,an image of a French horn,French horn,3407
1422,an image of a French horn,French horn,6938
1423,an image of a French horn,French horn,9104
1424,an image of a French horn,French horn,1906
1425,an image of a French horn,French horn,8301
1426,an image of a French horn,French horn,9643
1427,an image of a French horn,French horn,3822
1428,an image of a French horn,French horn,9451
1429,an image of a French horn,French horn,7441
1430,an image of a French horn,French horn,640
1431,an image of a French horn,French horn,1018
1432,an image of a French horn,French horn,362
1433,an image of a French horn,French horn,8038
1434,an image of a French horn,French horn,4165
1435,an image of a French horn,French horn,9376
1436,an image of a French horn,French horn,8666
1437,an image of a French horn,French horn,8914
1438,an image of a French horn,French horn,8124
1439,an image of a French horn,French horn,6664
1440,an image of a French horn,French horn,6265
1441,an image of a French horn,French horn,1424
1442,an image of a French horn,French horn,2670
1443,an image of a French horn,French horn,7111
1444,an image of a French horn,French horn,3719
1445,an image of a French horn,French horn,7644
1446,an image of a French horn,French horn,7776
1447,an image of a French horn,French horn,4496
1448,an image of a French horn,French horn,5960
1449,an image of a French horn,French horn,1515
1450,an image of a French horn,French horn,8149
1451,an image of a French horn,French horn,9501
1452,an image of a French horn,French horn,5267
1453,an image of a French horn,French horn,6752
1454,an image of a French horn,French horn,1736
1455,an image of a French horn,French horn,2274
1456,an image of a French horn,French horn,1347
1457,an image of a French horn,French horn,231
1458,an image of a French horn,French horn,1659
1459,an image of a French horn,French horn,6424
1460,an image of a French horn,French horn,3443
1461,an image of a French horn,French horn,596
1462,an image of a French horn,French horn,1406
1463,an image of a French horn,French horn,2784
1464,an image of a French horn,French horn,164
1465,an image of a French horn,French horn,1853
1466,an image of a French horn,French horn,644
1467,an image of a French horn,French horn,8042
1468,an image of a French horn,French horn,80
1469,an image of a French horn,French horn,1441
1470,an image of a French horn,French horn,4544
1471,an image of a French horn,French horn,3087
1472,an image of a French horn,French horn,3405
1473,an image of a French horn,French horn,5653
1474,an image of a French horn,French horn,6964
1475,an image of a French horn,French horn,6185
1476,an image of a French horn,French horn,9101
1477,an image of a French horn,French horn,9875
1478,an image of a French horn,French horn,881
1479,an image of a French horn,French horn,1888
1480,an image of a French horn,French horn,3248
1481,an image of a French horn,French horn,9152
1482,an image of a French horn,French horn,8817
1483,an image of a French horn,French horn,983
1484,an image of a French horn,French horn,9181
1485,an image of a French horn,French horn,139
1486,an image of a French horn,French horn,2666
1487,an image of a French horn,French horn,2359
1488,an image of a French horn,French horn,1257
1489,an image of a French horn,French horn,2207
1490,an image of a French horn,French horn,5280
1491,an image of a French horn,French horn,1819
1492,an image of a French horn,French horn,1139
1493,an image of a French horn,French horn,8947
1494,an image of a French horn,French horn,7152
1495,an image of a French horn,French horn,4522
1496,an image of a French horn,French horn,963
1497,an image of a French horn,French horn,8356
1498,an image of a French horn,French horn,8102
1499,an image of a French horn,French horn,6258
1500,an image of a gas pump,gas pump,3040
1501,an image of a gas pump,gas pump,1036
1502,an image of a gas pump,gas pump,1775
1503,an image of a gas pump,gas pump,8624
1504,an image of a gas pump,gas pump,7641
1505,an image of a gas pump,gas pump,6268
1506,an image of a gas pump,gas pump,1985
1507,an image of a gas pump,gas pump,6255
1508,an image of a gas pump,gas pump,1872
1509,an image of a gas pump,gas pump,8227
1510,an image of a gas pump,gas pump,6246
1511,an image of a gas pump,gas pump,9850
1512,an image of a gas pump,gas pump,571
1513,an image of a gas pump,gas pump,1806
1514,an image of a gas pump,gas pump,6026
1515,an image of a gas pump,gas pump,3050
1516,an image of a gas pump,gas pump,179
1517,an image of a gas pump,gas pump,9714
1518,an image of a gas pump,gas pump,6698
1519,an image of a gas pump,gas pump,3539
1520,an image of a gas pump,gas pump,15
1521,an image of a gas pump,gas pump,9469
1522,an image of a gas pump,gas pump,2244
1523,an image of a gas pump,gas pump,9207
1524,an image of a gas pump,gas pump,4640
1525,an image of a gas pump,gas pump,6559
1526,an image of a gas pump,gas pump,3819
1527,an image of a gas pump,gas pump,7827
1528,an image of a gas pump,gas pump,9067
1529,an image of a gas pump,gas pump,4591
1530,an image of a gas pump,gas pump,8846
1531,an image of a gas pump,gas pump,6911
1532,an image of a gas pump,gas pump,4444
1533,an image of a gas pump,gas pump,6537
1534,an image of a gas pump,gas pump,7676
1535,an image of a gas pump,gas pump,4793
1536,an image of a gas pump,gas pump,3635
1537,an image of a gas pump,gas pump,9631
1538,an image of a gas pump,gas pump,9220
1539,an image of a gas pump,gas pump,3981
1540,an image of a gas pump,gas pump,3203
1541,an image of a gas pump,gas pump,4493
1542,an image of a gas pump,gas pump,2643
1543,an image of a gas pump,gas pump,2173
1544,an image of a gas pump,gas pump,5175
1545,an image of a gas pump,gas pump,8908
1546,an image of a gas pump,gas pump,7722
1547,an image of a gas pump,gas pump,7723
1548,an image of a gas pump,gas pump,4626
1549,an image of a gas pump,gas pump,9019
1550,an image of a gas pump,gas pump,6554
1551,an image of a gas pump,gas pump,2194
1552,an image of a gas pump,gas pump,1643
1553,an image of a gas pump,gas pump,2998
1554,an image of a gas pump,gas pump,163
1555,an image of a gas pump,gas pump,1603
1556,an image of a gas pump,gas pump,6463
1557,an image of a gas pump,gas pump,596
1558,an image of a gas pump,gas pump,3976
1559,an image of a gas pump,gas pump,8485
1560,an image of a gas pump,gas pump,8297
1561,an image of a gas pump,gas pump,2271
1562,an image of a gas pump,gas pump,2612
1563,an image of a gas pump,gas pump,8763
1564,an image of a gas pump,gas pump,1851
1565,an image of a gas pump,gas pump,9215
1566,an image of a gas pump,gas pump,3398
1567,an image of a gas pump,gas pump,9034
1568,an image of a gas pump,gas pump,7455
1569,an image of a gas pump,gas pump,9702
1570,an image of a gas pump,gas pump,8904
1571,an image of a gas pump,gas pump,5362
1572,an image of a gas pump,gas pump,8755
1573,an image of a gas pump,gas pump,3251
1574,an image of a gas pump,gas pump,4972
1575,an image of a gas pump,gas pump,4086
1576,an image of a gas pump,gas pump,1246
1577,an image of a gas pump,gas pump,6643
1578,an image of a gas pump,gas pump,3701
1579,an image of a gas pump,gas pump,670
1580,an image of a gas pump,gas pump,2085
1581,an image of a gas pump,gas pump,5038
1582,an image of a gas pump,gas pump,5321
1583,an image of a gas pump,gas pump,9222
1584,an image of a gas pump,gas pump,6359
1585,an image of a gas pump,gas pump,1735
1586,an image of a gas pump,gas pump,2445
1587,an image of a gas pump,gas pump,576
1588,an image of a gas pump,gas pump,1489
1589,an image of a gas pump,gas pump,8792
1590,an image of a gas pump,gas pump,4591
1591,an image of a gas pump,gas pump,4618
1592,an image of a gas pump,gas pump,6390
1593,an image of a gas pump,gas pump,9757
1594,an image of a gas pump,gas pump,2498
1595,an image of a gas pump,gas pump,6966
1596,an image of a gas pump,gas pump,2365
1597,an image of a gas pump,gas pump,535
1598,an image of a gas pump,gas pump,1796
1599,an image of a gas pump,gas pump,3877
1600,an image of a gas pump,gas pump,7858
1601,an image of a gas pump,gas pump,9141
1602,an image of a gas pump,gas pump,6823
1603,an image of a gas pump,gas pump,9217
1604,an image of a gas pump,gas pump,8940
1605,an image of a gas pump,gas pump,5913
1606,an image of a gas pump,gas pump,6083
1607,an image of a gas pump,gas pump,1408
1608,an image of a gas pump,gas pump,3140
1609,an image of a gas pump,gas pump,4928
1610,an image of a gas pump,gas pump,9305
1611,an image of a gas pump,gas pump,1850
1612,an image of a gas pump,gas pump,8564
1613,an image of a gas pump,gas pump,1895
1614,an image of a gas pump,gas pump,255
1615,an image of a gas pump,gas pump,1980
1616,an image of a gas pump,gas pump,6597
1617,an image of a gas pump,gas pump,5980
1618,an image of a gas pump,gas pump,5075
1619,an image of a gas pump,gas pump,8276
1620,an image of a gas pump,gas pump,5671
1621,an image of a gas pump,gas pump,3013
1622,an image of a gas pump,gas pump,7361
1623,an image of a gas pump,gas pump,4448
1624,an image of a gas pump,gas pump,8930
1625,an image of a gas pump,gas pump,9032
1626,an image of a gas pump,gas pump,5255
1627,an image of a gas pump,gas pump,3607
1628,an image of a gas pump,gas pump,9037
1629,an image of a gas pump,gas pump,3518
1630,an image of a gas pump,gas pump,9037
1631,an image of a gas pump,gas pump,7854
1632,an image of a gas pump,gas pump,838
1633,an image of a gas pump,gas pump,2432
1634,an image of a gas pump,gas pump,2095
1635,an image of a gas pump,gas pump,7433
1636,an image of a gas pump,gas pump,5447
1637,an image of a gas pump,gas pump,2885
1638,an image of a gas pump,gas pump,3827
1639,an image of a gas pump,gas pump,8323
1640,an image of a gas pump,gas pump,6365
1641,an image of a gas pump,gas pump,7368
1642,an image of a gas pump,gas pump,3369
1643,an image of a gas pump,gas pump,8683
1644,an image of a gas pump,gas pump,7953
1645,an image of a gas pump,gas pump,1749
1646,an image of a gas pump,gas pump,3363
1647,an image of a gas pump,gas pump,1868
1648,an image of a gas pump,gas pump,2824
1649,an image of a gas pump,gas pump,2098
1650,an image of a gas pump,gas pump,6083
1651,an image of a gas pump,gas pump,3409
1652,an image of a gas pump,gas pump,3426
1653,an image of a gas pump,gas pump,5443
1654,an image of a gas pump,gas pump,5643
1655,an image of a gas pump,gas pump,5400
1656,an image of a gas pump,gas pump,2617
1657,an image of a gas pump,gas pump,1796
1658,an image of a gas pump,gas pump,6995
1659,an image of a gas pump,gas pump,9517
1660,an image of a gas pump,gas pump,1873
1661,an image of a gas pump,gas pump,7321
1662,an image of a gas pump,gas pump,9461
1663,an image of a gas pump,gas pump,5659
1664,an image of a gas pump,gas pump,2658
1665,an image of a gas pump,gas pump,1855
1666,an image of a gas pump,gas pump,2837
1667,an image of a gas pump,gas pump,1451
1668,an image of a gas pump,gas pump,1443
1669,an image of a gas pump,gas pump,3280
1670,an image of a gas pump,gas pump,4188
1671,an image of a gas pump,gas pump,8219
1672,an image of a gas pump,gas pump,9524
1673,an image of a gas pump,gas pump,2183
1674,an image of a gas pump,gas pump,9251
1675,an image of a gas pump,gas pump,5338
1676,an image of a gas pump,gas pump,5819
1677,an image of a gas pump,gas pump,1222
1678,an image of a gas pump,gas pump,3670
1679,an image of a gas pump,gas pump,3810
1680,an image of a gas pump,gas pump,6497
1681,an image of a gas pump,gas pump,8870
1682,an image of a gas pump,gas pump,1460
1683,an image of a gas pump,gas pump,2286
1684,an image of a gas pump,gas pump,5002
1685,an image of a gas pump,gas pump,3741
1686,an image of a gas pump,gas pump,1044
1687,an image of a gas pump,gas pump,5647
1688,an image of a gas pump,gas pump,7472
1689,an image of a gas pump,gas pump,9881
1690,an image of a gas pump,gas pump,3719
1691,an image of a gas pump,gas pump,2699
1692,an image of a gas pump,gas pump,2915
1693,an image of a gas pump,gas pump,4088
1694,an image of a gas pump,gas pump,9831
1695,an image of a gas pump,gas pump,6271
1696,an image of a gas pump,gas pump,2397
1697,an image of a gas pump,gas pump,2760
1698,an image of a gas pump,gas pump,7998
1699,an image of a gas pump,gas pump,6316
1700,an image of a gas pump,gas pump,7149
1701,an image of a gas pump,gas pump,6532
1702,an image of a gas pump,gas pump,67
1703,an image of a gas pump,gas pump,2649
1704,an image of a gas pump,gas pump,6457
1705,an image of a gas pump,gas pump,906
1706,an image of a gas pump,gas pump,3106
1707,an image of a gas pump,gas pump,1190
1708,an image of a gas pump,gas pump,9216
1709,an image of a gas pump,gas pump,792
1710,an image of a gas pump,gas pump,8821
1711,an image of a gas pump,gas pump,4154
1712,an image of a gas pump,gas pump,9516
1713,an image of a gas pump,gas pump,9597
1714,an image of a gas pump,gas pump,3564
1715,an image of a gas pump,gas pump,1834
1716,an image of a gas pump,gas pump,589
1717,an image of a gas pump,gas pump,1974
1718,an image of a gas pump,gas pump,5812
1719,an image of a gas pump,gas pump,9352
1720,an image of a gas pump,gas pump,1416
1721,an image of a gas pump,gas pump,1093
1722,an image of a gas pump,gas pump,1245
1723,an image of a gas pump,gas pump,3882
1724,an image of a gas pump,gas pump,1714
1725,an image of a gas pump,gas pump,61
1726,an image of a gas pump,gas pump,3494
1727,an image of a gas pump,gas pump,8140
1728,an image of a gas pump,gas pump,9770
1729,an image of a gas pump,gas pump,4691
1730,an image of a gas pump,gas pump,6482
1731,an image of a gas pump,gas pump,1562
1732,an image of a gas pump,gas pump,8921
1733,an image of a gas pump,gas pump,186
1734,an image of a gas pump,gas pump,9312
1735,an image of a gas pump,gas pump,2560
1736,an image of a gas pump,gas pump,6057
1737,an image of a gas pump,gas pump,3660
1738,an image of a gas pump,gas pump,521
1739,an image of a gas pump,gas pump,3719
1740,an image of a gas pump,gas pump,1634
1741,an image of a gas pump,gas pump,8250
1742,an image of a gas pump,gas pump,6128
1743,an image of a gas pump,gas pump,181
1744,an image of a gas pump,gas pump,3186
1745,an image of a gas pump,gas pump,8001
1746,an image of a gas pump,gas pump,3302
1747,an image of a gas pump,gas pump,8753
1748,an image of a gas pump,gas pump,7340
1749,an image of a gas pump,gas pump,6592
1750,an image of a gas pump,gas pump,7739
1751,an image of a gas pump,gas pump,6281
1752,an image of a gas pump,gas pump,170
1753,an image of a gas pump,gas pump,6665
1754,an image of a gas pump,gas pump,6342
1755,an image of a gas pump,gas pump,2952
1756,an image of a gas pump,gas pump,382
1757,an image of a gas pump,gas pump,2553
1758,an image of a gas pump,gas pump,4416
1759,an image of a gas pump,gas pump,2503
1760,an image of a gas pump,gas pump,6676
1761,an image of a gas pump,gas pump,4932
1762,an image of a gas pump,gas pump,5491
1763,an image of a gas pump,gas pump,1285
1764,an image of a gas pump,gas pump,1570
1765,an image of a gas pump,gas pump,134
1766,an image of a gas pump,gas pump,9442
1767,an image of a gas pump,gas pump,1579
1768,an image of a gas pump,gas pump,5726
1769,an image of a gas pump,gas pump,5365
1770,an image of a gas pump,gas pump,7520
1771,an image of a gas pump,gas pump,65
1772,an image of a gas pump,gas pump,7815
1773,an image of a gas pump,gas pump,3034
1774,an image of a gas pump,gas pump,1267
1775,an image of a gas pump,gas pump,3505
1776,an image of a gas pump,gas pump,2036
1777,an image of a gas pump,gas pump,4649
1778,an image of a gas pump,gas pump,1589
1779,an image of a gas pump,gas pump,2232
1780,an image of a gas pump,gas pump,2414
1781,an image of a gas pump,gas pump,665
1782,an image of a gas pump,gas pump,4086
1783,an image of a gas pump,gas pump,7457
1784,an image of a gas pump,gas pump,5035
1785,an image of a gas pump,gas pump,1071
1786,an image of a gas pump,gas pump,2900
1787,an image of a gas pump,gas pump,8827
1788,an image of a gas pump,gas pump,6914
1789,an image of a gas pump,gas pump,6073
1790,an image of a gas pump,gas pump,1778
1791,an image of a gas pump,gas pump,3949
1792,an image of a gas pump,gas pump,1131
1793,an image of a gas pump,gas pump,7595
1794,an image of a gas pump,gas pump,2122
1795,an image of a gas pump,gas pump,1249
1796,an image of a gas pump,gas pump,209
1797,an image of a gas pump,gas pump,1865
1798,an image of a gas pump,gas pump,541
1799,an image of a gas pump,gas pump,648
1800,an image of a gas pump,gas pump,8001
1801,an image of a gas pump,gas pump,4974
1802,an image of a gas pump,gas pump,4675
1803,an image of a gas pump,gas pump,8189
1804,an image of a gas pump,gas pump,1431
1805,an image of a gas pump,gas pump,6038
1806,an image of a gas pump,gas pump,3565
1807,an image of a gas pump,gas pump,9744
1808,an image of a gas pump,gas pump,7313
1809,an image of a gas pump,gas pump,5113
1810,an image of a gas pump,gas pump,9491
1811,an image of a gas pump,gas pump,4186
1812,an image of a gas pump,gas pump,3261
1813,an image of a gas pump,gas pump,2724
1814,an image of a gas pump,gas pump,8699
1815,an image of a gas pump,gas pump,7393
1816,an image of a gas pump,gas pump,1677
1817,an image of a gas pump,gas pump,2123
1818,an image of a gas pump,gas pump,5641
1819,an image of a gas pump,gas pump,1859
1820,an image of a gas pump,gas pump,165
1821,an image of a gas pump,gas pump,2361
1822,an image of a gas pump,gas pump,415
1823,an image of a gas pump,gas pump,4408
1824,an image of a gas pump,gas pump,7699
1825,an image of a gas pump,gas pump,9703
1826,an image of a gas pump,gas pump,1241
1827,an image of a gas pump,gas pump,9081
1828,an image of a gas pump,gas pump,5283
1829,an image of a gas pump,gas pump,4594
1830,an image of a gas pump,gas pump,1268
1831,an image of a gas pump,gas pump,2715
1832,an image of a gas pump,gas pump,3376
1833,an image of a gas pump,gas pump,8911
1834,an image of a gas pump,gas pump,807
1835,an image of a gas pump,gas pump,5337
1836,an image of a gas pump,gas pump,6781
1837,an image of a gas pump,gas pump,1999
1838,an image of a gas pump,gas pump,405
1839,an image of a gas pump,gas pump,6983
1840,an image of a gas pump,gas pump,2196
1841,an image of a gas pump,gas pump,8410
1842,an image of a gas pump,gas pump,4064
1843,an image of a gas pump,gas pump,2619
1844,an image of a gas pump,gas pump,1949
1845,an image of a gas pump,gas pump,9540
1846,an image of a gas pump,gas pump,7641
1847,an image of a gas pump,gas pump,5579
1848,an image of a gas pump,gas pump,8889
1849,an image of a gas pump,gas pump,5526
1850,an image of a gas pump,gas pump,9903
1851,an image of a gas pump,gas pump,5302
1852,an image of a gas pump,gas pump,8527
1853,an image of a gas pump,gas pump,7664
1854,an image of a gas pump,gas pump,3540
1855,an image of a gas pump,gas pump,5012
1856,an image of a gas pump,gas pump,3046
1857,an image of a gas pump,gas pump,4219
1858,an image of a gas pump,gas pump,1838
1859,an image of a gas pump,gas pump,6747
1860,an image of a gas pump,gas pump,2627
1861,an image of a gas pump,gas pump,517
1862,an image of a gas pump,gas pump,1005
1863,an image of a gas pump,gas pump,3425
1864,an image of a gas pump,gas pump,4502
1865,an image of a gas pump,gas pump,6283
1866,an image of a gas pump,gas pump,2487
1867,an image of a gas pump,gas pump,5696
1868,an image of a gas pump,gas pump,1948
1869,an image of a gas pump,gas pump,349
1870,an image of a gas pump,gas pump,4316
1871,an image of a gas pump,gas pump,4390
1872,an image of a gas pump,gas pump,1400
1873,an image of a gas pump,gas pump,8782
1874,an image of a gas pump,gas pump,3439
1875,an image of a gas pump,gas pump,8409
1876,an image of a gas pump,gas pump,2714
1877,an image of a gas pump,gas pump,5545
1878,an image of a gas pump,gas pump,7669
1879,an image of a gas pump,gas pump,217
1880,an image of a gas pump,gas pump,6472
1881,an image of a gas pump,gas pump,4111
1882,an image of a gas pump,gas pump,6996
1883,an image of a gas pump,gas pump,8631
1884,an image of a gas pump,gas pump,7833
1885,an image of a gas pump,gas pump,4248
1886,an image of a gas pump,gas pump,6808
1887,an image of a gas pump,gas pump,6305
1888,an image of a gas pump,gas pump,7593
1889,an image of a gas pump,gas pump,4758
1890,an image of a gas pump,gas pump,7840
1891,an image of a gas pump,gas pump,3254
1892,an image of a gas pump,gas pump,1268
1893,an image of a gas pump,gas pump,6648
1894,an image of a gas pump,gas pump,4394
1895,an image of a gas pump,gas pump,4293
1896,an image of a gas pump,gas pump,4030
1897,an image of a gas pump,gas pump,3085
1898,an image of a gas pump,gas pump,78
1899,an image of a gas pump,gas pump,5857
1900,an image of a gas pump,gas pump,7057
1901,an image of a gas pump,gas pump,2948
1902,an image of a gas pump,gas pump,2760
1903,an image of a gas pump,gas pump,6755
1904,an image of a gas pump,gas pump,5720
1905,an image of a gas pump,gas pump,4638
1906,an image of a gas pump,gas pump,2560
1907,an image of a gas pump,gas pump,1050
1908,an image of a gas pump,gas pump,3804
1909,an image of a gas pump,gas pump,1025
1910,an image of a gas pump,gas pump,33
1911,an image of a gas pump,gas pump,681
1912,an image of a gas pump,gas pump,2528
1913,an image of a gas pump,gas pump,5829
1914,an image of a gas pump,gas pump,4056
1915,an image of a gas pump,gas pump,1511
1916,an image of a gas pump,gas pump,5590
1917,an image of a gas pump,gas pump,5491
1918,an image of a gas pump,gas pump,3099
1919,an image of a gas pump,gas pump,6020
1920,an image of a gas pump,gas pump,7899
1921,an image of a gas pump,gas pump,1994
1922,an image of a gas pump,gas pump,876
1923,an image of a gas pump,gas pump,7240
1924,an image of a gas pump,gas pump,1612
1925,an image of a gas pump,gas pump,7837
1926,an image of a gas pump,gas pump,3517
1927,an image of a gas pump,gas pump,8896
1928,an image of a gas pump,gas pump,2787
1929,an image of a gas pump,gas pump,3235
1930,an image of a gas pump,gas pump,6051
1931,an image of a gas pump,gas pump,5913
1932,an image of a gas pump,gas pump,3737
1933,an image of a gas pump,gas pump,414
1934,an image of a gas pump,gas pump,402
1935,an image of a gas pump,gas pump,705
1936,an image of a gas pump,gas pump,1282
1937,an image of a gas pump,gas pump,983
1938,an image of a gas pump,gas pump,4210
1939,an image of a gas pump,gas pump,5062
1940,an image of a gas pump,gas pump,956
1941,an image of a gas pump,gas pump,2904
1942,an image of a gas pump,gas pump,6529
1943,an image of a gas pump,gas pump,232
1944,an image of a gas pump,gas pump,4109
1945,an image of a gas pump,gas pump,9888
1946,an image of a gas pump,gas pump,3901
1947,an image of a gas pump,gas pump,2795
1948,an image of a gas pump,gas pump,1319
1949,an image of a gas pump,gas pump,6663
1950,an image of a gas pump,gas pump,8157
1951,an image of a gas pump,gas pump,9099
1952,an image of a gas pump,gas pump,4499
1953,an image of a gas pump,gas pump,3958
1954,an image of a gas pump,gas pump,5814
1955,an image of a gas pump,gas pump,3382
1956,an image of a gas pump,gas pump,8398
1957,an image of a gas pump,gas pump,9246
1958,an image of a gas pump,gas pump,4693
1959,an image of a gas pump,gas pump,3168
1960,an image of a gas pump,gas pump,7819
1961,an image of a gas pump,gas pump,9637
1962,an image of a gas pump,gas pump,3755
1963,an image of a gas pump,gas pump,6636
1964,an image of a gas pump,gas pump,7547
1965,an image of a gas pump,gas pump,6828
1966,an image of a gas pump,gas pump,494
1967,an image of a gas pump,gas pump,5715
1968,an image of a gas pump,gas pump,6755
1969,an image of a gas pump,gas pump,1083
1970,an image of a gas pump,gas pump,7300
1971,an image of a gas pump,gas pump,1314
1972,an image of a gas pump,gas pump,8320
1973,an image of a gas pump,gas pump,9369
1974,an image of a gas pump,gas pump,347
1975,an image of a gas pump,gas pump,8152
1976,an image of a gas pump,gas pump,5448
1977,an image of a gas pump,gas pump,621
1978,an image of a gas pump,gas pump,6975
1979,an image of a gas pump,gas pump,3554
1980,an image of a gas pump,gas pump,3303
1981,an image of a gas pump,gas pump,8050
1982,an image of a gas pump,gas pump,5899
1983,an image of a gas pump,gas pump,6162
1984,an image of a gas pump,gas pump,2759
1985,an image of a gas pump,gas pump,3545
1986,an image of a gas pump,gas pump,5533
1987,an image of a gas pump,gas pump,5762
1988,an image of a gas pump,gas pump,5734
1989,an image of a gas pump,gas pump,9935
1990,an image of a gas pump,gas pump,5162
1991,an image of a gas pump,gas pump,761
1992,an image of a gas pump,gas pump,4830
1993,an image of a gas pump,gas pump,9557
1994,an image of a gas pump,gas pump,7056
1995,an image of a gas pump,gas pump,7938
1996,an image of a gas pump,gas pump,7578
1997,an image of a gas pump,gas pump,3262
1998,an image of a gas pump,gas pump,5262
1999,an image of a gas pump,gas pump,1177
2000,an image of a golf ball in a room,golf ball,7658
2001,an image of a golf ball in a room,golf ball,895
2002,an image of a golf ball in a room,golf ball,381
2003,an image of a golf ball in a room,golf ball,9312
2004,an image of a golf ball in a room,golf ball,6017
2005,an image of a golf ball in a room,golf ball,3713
2006,an image of a golf ball in a room,golf ball,2021
2007,an image of a golf ball in a room,golf ball,1720
2008,an image of a golf ball in a room,golf ball,2516
2009,an image of a golf ball in a room,golf ball,3471
2010,an image of a golf ball in a room,golf ball,1153
2011,an image of a golf ball in a room,golf ball,5888
2012,an image of a golf ball in a room,golf ball,506
2013,an image of a golf ball in a room,golf ball,3164
2014,an image of a golf ball in a room,golf ball,6616
2015,an image of a golf ball in a room,golf ball,4162
2016,an image of a golf ball in a room,golf ball,7920
2017,an image of a golf ball in a room,golf ball,1289
2018,an image of a golf ball in a room,golf ball,194
2019,an image of a golf ball in a room,golf ball,4177
2020,an image of a golf ball in a room,golf ball,3905
